date,market,crop,modal_price,min_price,max_price,rainfall_mm,temp_c,humidity,data_source
2026-01-26,Davangere,tomato,1794.96,1579.56,2010.35,2.14,26.89,70.62,synthetic_demo_v2
2026-01-27,Davangere,tomato,1793.14,1577.96,2008.31,0.0,27.42,62.86,synthetic_demo_v2
2026-01-28,Davangere,tomato,1790.18,1575.36,2005.01,3.58,27.41,74.31,synthetic_demo_v2
2026-01-29,Davangere,tomato,1820.02,1601.62,2038.43,3.55,26.53,56.88,synthetic_demo_v2
2026-01-30,Davangere,tomato,1831.15,1611.41,2050.89,9.56,27.4,64.15,synthetic_demo_v2
2026-01-31,Davangere,tomato,1851.64,1629.45,2073.84,0.0,27.13,68.92,synthetic_demo_v2
2026-02-01,Davangere,tomato,1881.58,1655.79,2107.37,1.8,27.91,66.99,synthetic_demo_v2
2026-02-02,Davangere,tomato,1903.91,1675.44,2132.38,0.0,28.19,52.88,synthetic_demo_v2
2026-02-03,Davangere,tomato,1804.23,1587.72,2020.74,0.0,26.79,72.01,synthetic_demo_v2
2026-02-04,Davangere,tomato,1840.96,1620.04,2061.87,0.0,28.64,56.98,synthetic_demo_v2
2026-02-05,Davangere,tomato,1845.55,1624.09,2067.02,1.53,28.0,71.55,synthetic_demo_v2
2026-02-06,Davangere,tomato,1876.05,1650.92,2101.17,4.75,28.62,68.83,synthetic_demo_v2
2026-02-07,Davangere,tomato,1857.57,1634.66,2080.48,0.0,27.58,68.99,synthetic_demo_v2
2026-02-08,Davangere,tomato,1857.36,1634.47,2080.24,14.68,27.32,56.21,synthetic_demo_v2
2026-02-09,Davangere,tomato,1894.18,1666.88,2121.48,10.11,28.73,71.69,synthetic_demo_v2
2026-02-10,Davangere,tomato,1947.95,1714.2,2181.7,2.53,26.89,60.74,synthetic_demo_v2
2026-02-11,Davangere,tomato,1975.65,1738.57,2212.72,0.0,28.43,67.03,synthetic_demo_v2
2026-02-12,Davangere,tomato,1954.6,1720.05,2189.15,6.62,29.06,83.57,synthetic_demo_v2
2026-02-13,Davangere,tomato,1971.66,1735.06,2208.26,0.0,28.0,58.35,synthetic_demo_v2
2026-02-14,Davangere,tomato,1998.02,1758.26,2237.79,0.17,28.57,70.99,synthetic_demo_v2
2026-02-15,Davangere,tomato,1961.5,1726.12,2196.88,1.53,26.88,56.34,synthetic_demo_v2
2026-02-16,Davangere,tomato,1938.71,1706.06,2171.35,5.08,29.99,64.85,synthetic_demo_v2
2026-02-17,Davangere,tomato,1950.41,1716.36,2184.45,3.84,29.96,72.15,synthetic_demo_v2
2026-02-18,Davangere,tomato,1961.05,1725.72,2196.38,0.0,29.86,68.05,synthetic_demo_v2
2026-02-19,Davangere,tomato,2003.72,1763.27,2244.16,2.85,30.99,62.13,synthetic_demo_v2
2026-02-20,Davangere,tomato,2051.39,1805.22,2297.55,3.58,28.59,55.97,synthetic_demo_v2
2026-02-21,Davangere,tomato,2029.13,1785.64,2272.63,10.12,30.0,70.51,synthetic_demo_v2
2026-02-22,Davangere,tomato,1934.05,1701.96,2166.13,6.55,29.81,60.6,synthetic_demo_v2
2026-02-23,Davangere,tomato,1919.69,1689.33,2150.06,2.99,31.06,56.56,synthetic_demo_v2
2026-02-24,Davangere,tomato,1915.64,1685.76,2145.51,9.81,28.96,62.09,synthetic_demo_v2
2026-02-25,Davangere,tomato,1931.16,1699.42,2162.9,0.0,29.69,55.32,synthetic_demo_v2
2026-02-26,Davangere,tomato,1971.44,1734.87,2208.02,3.02,31.83,67.25,synthetic_demo_v2
2026-02-27,Davangere,tomato,2020.71,1778.23,2263.2,0.0,29.49,67.59,synthetic_demo_v2
2026-02-28,Davangere,tomato,2073.58,1824.75,2322.41,0.0,30.67,69.73,synthetic_demo_v2
2026-03-01,Davangere,tomato,2108.53,1855.5,2361.55,6.56,29.79,60.83,synthetic_demo_v2
2026-03-02,Davangere,tomato,2039.13,1794.43,2283.82,3.98,29.62,81.16,synthetic_demo_v2
2026-03-03,Davangere,tomato,2005.84,1765.14,2246.54,4.6,28.3,61.84,synthetic_demo_v2
2026-03-04,Davangere,tomato,2009.59,1768.44,2250.74,7.12,31.38,64.65,synthetic_demo_v2
2026-03-05,Davangere,tomato,1964.13,1728.43,2199.82,5.29,30.51,68.93,synthetic_demo_v2
2026-03-06,Davangere,tomato,1942.06,1709.01,2175.11,8.67,30.14,70.6,synthetic_demo_v2
2026-03-07,Davangere,tomato,1993.15,1753.97,2232.32,6.05,30.39,82.22,synthetic_demo_v2
2026-03-08,Davangere,tomato,1997.51,1757.81,2237.21,1.52,30.27,76.86,synthetic_demo_v2
2026-03-09,Davangere,tomato,1996.13,1756.59,2235.66,5.6,31.41,60.9,synthetic_demo_v2
2026-03-10,Davangere,tomato,1929.85,1698.27,2161.43,4.5,30.5,60.14,synthetic_demo_v2
2026-03-11,Davangere,tomato,1967.1,1731.05,2203.16,6.04,29.32,69.15,synthetic_demo_v2
2026-03-12,Davangere,tomato,1958.84,1723.78,2193.9,0.0,30.82,64.64,synthetic_demo_v2
2026-03-13,Davangere,tomato,1932.23,1700.36,2164.09,5.61,30.9,60.38,synthetic_demo_v2
2026-03-14,Davangere,tomato,1950.19,1716.17,2184.21,8.08,29.75,68.05,synthetic_demo_v2
2026-03-15,Davangere,tomato,1949.73,1715.76,2183.7,14.33,28.64,70.56,synthetic_demo_v2
2026-03-16,Davangere,tomato,1937.59,1705.07,2170.1,2.5,32.45,64.93,synthetic_demo_v2
2026-03-17,Davangere,tomato,2015.99,1774.07,2257.91,0.79,30.94,61.07,synthetic_demo_v2
2026-03-18,Davangere,tomato,1975.02,1738.02,2212.03,3.31,30.34,66.62,synthetic_demo_v2
2026-03-19,Davangere,tomato,1891.61,1664.62,2118.6,13.01,30.49,78.94,synthetic_demo_v2
2026-03-20,Davangere,tomato,1862.11,1638.66,2085.57,4.46,33.86,58.04,synthetic_demo_v2
2026-03-21,Davangere,tomato,1820.19,1601.76,2038.61,0.27,31.2,70.55,synthetic_demo_v2
2026-03-22,Davangere,tomato,1882.86,1656.91,2108.8,1.71,29.16,61.52,synthetic_demo_v2
